JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.011,     1.000,     1.979,    20.000,     0.121,    60.967,     0.000,     0.450,     3.579,   178.270,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.015,     1.042,     1.801,    20.000,     0.478,   157.159,     0.000,     0.450,     3.401,   178.270,     1.000,    19.997,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.996,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.019,     1.143,     1.802,    20.000,     0.484,   145.882,     0.000,     0.450,     3.402,   178.270,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.992,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.024,     1.331,     1.802,    20.000,     0.446,   127.258,     0.000,     0.450,     3.402,   178.270,     1.000,    19.998,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.987,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.028,     1.596,     1.801,    20.000,     0.401,   107.437,     0.000,     0.450,     3.401,   178.270,     1.000,    19.962,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.983,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.032,     2.204,     1.801,    19.978,     0.334,    79.564,     0.000,     0.450,     3.401,   178.270,     1.000,    19.467,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.979,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.036,     2.802,     1.801,    19.874,     0.282,    64.279,     0.000,     0.450,     3.401,   178.270,     1.000,    19.174,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.975,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.040,     3.601,     1.801,    19.783,     0.237,    51.015,     0.000,     0.450,     3.401,   178.270,     1.000,    18.959,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.971,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.044,     5.579,     1.801,    19.660,     0.198,    33.208,     0.000,     0.450,     3.401,   178.270,     1.000,    18.475,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.966,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.049,     9.020,     1.801,    18.860,     0.130,     9.139,     0.000,     0.450,     3.401,   178.270,     1.000,    17.198,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.962,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.053,     7.805,     1.801,    18.507,     0.044,    -5.926,     0.000,     0.450,     3.401,   178.270,     1.000,    17.020,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.958,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.057,     9.882,     1.800,    18.093,     0.027,    -9.730,     0.000,     0.450,     3.400,   178.270,     1.000,    16.802,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.954,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.061,     8.428,     1.800,    17.656,     0.011,   -13.204,     0.000,     0.450,     3.400,   178.270,     1.000,    16.607,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.950,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.065,     6.321,     1.800,    17.277,     0.003,   -14.870,     0.000,     0.450,     3.400,   178.270,     1.000,    16.414,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.945,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.069,    11.371,     1.800,    16.939,     0.015,    -8.040,     0.000,     0.450,     3.400,   178.270,     1.000,    16.225,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.941,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.074,    12.368,     1.800,    16.734,     0.036,     2.907,     0.000,     0.450,     3.400,   178.270,     1.000,    16.106,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.937,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.078,     7.708,     1.800,    16.838,     0.049,     9.306,     0.000,     0.450,     3.400,   178.270,     1.000,    16.139,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.933,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.082,     5.751,     1.800,    17.073,     0.056,    10.926,     0.000,     0.450,     3.400,   178.270,     1.000,    16.228,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.929,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.086,     5.612,     1.800,    17.431,     0.064,    11.799,     0.000,     0.450,     3.400,   178.270,     1.000,    16.367,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.924,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.090,     4.515,     1.801,    17.803,     0.072,     9.027,     0.000,     0.450,     3.401,   178.270,     1.000,    16.480,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.920,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.094,     4.565,     1.801,    17.902,     0.059,     2.708,     0.000,     0.450,     3.401,   178.270,     1.000,    16.450,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.916,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.099,     4.925,     1.801,    17.882,     0.046,    -1.326,     0.000,     0.450,     3.401,   178.270,     1.000,    16.416,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.912,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.103,     4.909,     1.801,    17.662,     0.038,    -2.661,     0.000,     0.450,     3.401,   178.270,     1.000,    16.310,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.908,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.107,     4.342,     1.800,    17.451,     0.030,    -3.492,     0.000,     0.450,     3.400,   178.270,     1.000,    16.249,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.904,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.111,     4.686,     1.800,    17.253,     0.027,    -3.867,     0.000,     0.450,     3.400,   178.270,     1.000,    16.185,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.899,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.115,     4.686,     1.800,    17.108,     0.031,    -0.670,     0.000,     0.450,     3.400,   178.270,     1.000,    16.133,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.895,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.119,     4.938,     1.800,    17.101,     0.040,     3.849,     0.000,     0.450,     3.400,   178.270,     1.000,    16.131,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.891,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.124,     5.377,     1.800,    17.214,     0.044,     5.547,     0.000,     0.450,     3.400,   178.270,     1.000,    16.178,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.887,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.128,     5.336,     1.800,    17.390,     0.046,     5.490,     0.000,     0.450,     3.400,   178.270,     1.000,    16.249,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.883,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.132,     4.907,     1.800,    17.592,     0.048,     5.514,     0.000,     0.450,     3.400,   178.270,     1.000,    16.346,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.879,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.136,     5.320,     1.800,    17.777,     0.049,     4.358,     0.000,     0.450,     3.400,   178.270,     1.000,    16.437,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.874,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.140,     3.612,     1.801,    17.851,     0.045,     1.944,     0.000,     0.450,     3.401,   178.270,     1.000,    16.480,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.870,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.144,     3.738,     1.800,    17.738,     0.040,     0.256,     0.000,     0.450,     3.400,   178.270,     1.000,    16.443,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.866,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.149,     3.242,     1.800,    17.576,     0.037,    -0.137,     0.000,     0.450,     3.400,   178.270,     1.000,    16.383,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.862,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.153,     2.914,     1.800,    17.421,     0.036,    -0.536,     0.000,     0.450,     3.400,   178.270,     1.000,    16.302,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.858,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.157,     3.688,     1.800,    17.285,     0.035,    -0.405,     0.000,     0.450,     3.400,   178.270,     1.000,    16.230,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.854,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.161,     3.254,     1.800,    17.226,     0.037,     1.365,     0.000,     0.450,     3.400,   178.270,     1.000,    16.199,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.850,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.165,     3.829,     1.800,    17.254,     0.041,     3.225,     0.000,     0.450,     3.400,   178.270,     1.000,    16.207,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.845,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.169,     3.870,     1.800,    17.349,     0.041,     3.608,     0.000,     0.450,     3.400,   178.270,     1.000,    16.258,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.841,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.174,     3.582,     1.800,    17.462,     0.042,     3.368,     0.000,     0.450,     3.400,   178.270,     1.000,    16.317,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.837,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.178,     3.346,     1.800,    17.547,     0.043,     3.396,     0.000,     0.450,     3.400,   178.270,     1.000,    16.361,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.833,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.182,     3.232,     1.800,    17.613,     0.043,     2.924,     0.000,     0.450,     3.400,   178.270,     1.000,    16.394,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.829,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.186,     3.776,     1.800,    17.620,     0.041,     1.773,     0.000,     0.450,     3.400,   178.270,     1.000,    16.401,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.825,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.190,     4.124,     1.800,    17.551,     0.041,     0.953,     0.000,     0.450,     3.400,   178.270,     1.000,    16.356,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.821,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.195,     3.897,     1.800,    17.448,     0.039,     0.831,     0.000,     0.450,     3.400,   178.270,     1.000,    16.298,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.816,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
