 JDAY =    49.1378851548548     
QIN(JB):,.530000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
40,1,A,10,.118346,-.218361,-.218346,.659117,.659125,-.001228,.318361,.318346,5.955221,5.955530,17.476645,17.476645,.091266,.091304,.318088,.118361
41,1,A,10,.117830,-.217842,-.217830,.663618,.663627,-.001351,.317842,.317830,7.210618,7.210904,17.476645,17.476645,.071475,.071526,.317812,.117842
42,1,A,10,.117795,-.217806,-.217795,.667699,.667710,-.001568,.317806,.317795,8.102633,8.102947,17.476645,17.476645,.061195,.061241,.317727,.117806
43,1,A,10,.117660,-.217672,-.217660,.673052,.673061,-.001332,.317672,.317660,8.601365,8.601793,17.476645,17.476645,.058584,.058613,.317613,.117672
44,1,A,10,.117567,-.217584,-.217567,.680548,.680557,-.001368,.317584,.317567,7.795954,7.796511,17.476645,17.476645,.063888,.063888,.317509,.117584
45,1,A,10,.117450,-.217475,-.217450,.689747,.689755,-.001258,.317475,.317450,7.143252,7.143944,17.476646,17.476646,.071951,.071919,.317365,.117475
46,1,A,10,.117279,-.217311,-.217279,.701312,.701318,-.000812,.317311,.317279,6.718742,6.719530,17.476646,17.476646,.082731,.082671,.317157,.117311
47,1,A,10,.117035,-.217072,-.217035,.713393,.713399,-.000829,.317072,.317035,5.242018,5.242806,17.476646,17.476646,.114089,.114006,.316626,.117072
48,1,A,10,.116217,-.216253,-.216217,.724944,.724955,-.001559,.316253,.316217,3.888026,3.888628,17.476646,17.476646,.163966,.163833,.314614,.116253
49,1,A,10,.113012,-.213036,-.213012,.731442,.731451,-.001181,.313036,.313012,5.070163,5.070616,17.476646,17.476646,.119369,.119321,.312658,.113036
50,1,A,10,.112305,-.212327,-.212305,.738534,.738539,-.000698,.312327,.312305,6.912943,6.913441,17.476647,17.476647,.086840,.086814,.312387,.112327
51,1,A,10,.112469,-.212489,-.212469,.746410,.746413,-.000484,.312489,.312469,7.373070,7.373548,17.476650,17.476650,.081783,.081765,.312397,.112489
52,1,A,10,.112324,-.212342,-.212324,.752895,.752900,-.000674,.312342,.312324,7.251301,7.251710,17.476659,17.476659,.082030,.082024,.312220,.112342
53,1,A,10,.112115,-.212131,-.212115,.758671,.758678,-.000921,.312131,.312115,7.693221,7.693614,17.476675,17.476675,.075193,.075190,.312035,.112131
54,1,A,10,.111955,-.211970,-.211955,.764697,.764702,-.000679,.311970,.311955,7.948641,7.949035,17.476728,17.476728,.073898,.073899,.311898,.111970
55,1,A,10,.111840,-.211854,-.211840,.770493,.770494,-.000092,.311854,.311840,7.513400,7.513774,17.476831,17.476831,.080353,.080356,.311691,.111854
56,1,A,10,.111543,-.211557,-.211543,.775921,.775919,.000247,.311557,.311543,6.815885,6.816207,17.477027,17.477027,.093380,.093389,.311321,.111557
57,1,A,10,.111098,-.211112,-.211098,.780169,.780166,.000312,.311112,.311098,5.861033,5.861311,17.477267,17.477267,.111245,.111260,.310721,.111112
58,1,A,10,.110344,-.210358,-.210344,.784280,.784278,.000285,.310358,.310344,5.707650,5.707929,17.477565,17.477565,.115871,.115883,.309944,.110358
59,1,A,10,.109543,-.209557,-.209543,.788524,.788512,.001514,.309557,.309543,6.915367,6.915708,17.477872,17.477872,.095073,.095089,.309349,.109557
60,1,A,10,.109155,-.209170,-.209155,.794537,.794523,.001809,.309170,.309155,7.208154,7.208532,17.478594,17.478594,.089636,.089638,.309095,.109170
61,1,A,10,.109035,-.209050,-.209035,.799853,.799827,.003241,.309050,.309035,7.197166,7.197536,17.479384,17.479384,.089639,.089639,.308785,.109050
62,1,A,10,.108535,-.208549,-.208535,.805644,.805606,.004677,.308549,.308535,7.393849,7.394207,17.480687,17.480687,.087191,.087197,.308409,.108549
63,1,A,10,.108284,-.208297,-.208284,.810584,.810556,.003411,.308297,.308284,6.030179,6.030492,17.482476,17.482476,.103806,.103796,.308045,.108297
64,1,A,10,.107806,-.207820,-.207806,.815031,.815001,.003674,.307820,.307806,5.978326,5.978621,17.484178,17.484178,.116356,.116257,.307309,.107820
65,1,A,10,.106812,-.206825,-.206812,.819458,.819415,.005281,.306825,.306812,6.733938,6.734236,17.486331,17.486331,.105450,.105474,.306656,.106825
66,1,A,10,.106501,-.206513,-.206501,.821141,.823943,-.341199,.306513,.306501,6.309271,6.309587,17.489010,17.489010,.113060,.113116,.306283,.106513
67,1,A,10,.106065,-.206078,-.206065,.828960,.828883,.009316,.306078,.306065,6.903307,6.903652,17.491657,17.491657,.104427,.104435,.305650,.106078
68,1,A,10,.105236,-.205249,-.205236,.834392,.834292,.011990,.305249,.305236,7.883319,7.883726,17.495118,17.495118,.091368,.091376,.305068,.105249
