JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.011,     1.000,     1.800,    20.000,    -0.000,    -0.000,     0.000,     0.450,     1.400,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.015,     1.561,     1.834,    20.000,    -0.101,   -59.297,     0.000,     0.450,     1.434,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.996,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.019,     1.418,     1.899,    20.000,    -0.068,   -43.636,     0.000,     0.450,     1.499,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.992,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.024,     1.558,     1.946,    20.000,    -0.049,   -32.169,     0.000,     0.450,     1.546,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.987,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.028,     1.595,     1.980,    20.022,    -0.053,   -34.944,     0.000,     0.450,     1.580,   419.330,     1.000,    20.106,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.983,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.032,     3.795,     1.998,    20.110,     0.045,     3.341,     0.000,     0.450,     1.598,   419.330,     1.000,    20.729,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.979,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.036,     8.116,     1.998,    20.044,     0.037,    -9.910,     0.000,     0.450,     1.598,   419.330,     1.000,    21.051,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.975,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.040,     7.171,     2.014,    20.043,     0.010,   -15.775,     0.000,     0.450,     1.614,   419.330,     1.000,    21.209,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.971,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.044,     6.785,     2.028,    20.030,     0.032,    -1.552,     0.000,     0.450,     1.628,   419.330,     1.000,    21.224,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.966,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.049,     7.842,     2.020,    20.067,     0.055,    15.293,     0.000,     0.450,     1.620,   419.330,     1.000,    21.147,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.962,     0.001,     0.000,     0.000,     0.001,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
