JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,           Gen1,           Gen2,           Gen3,           ISS1,            PO4,            NH4,            NO3,             DO,     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),DODOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d),DOSOD   (kg/d),PLIM_ALG1           ,NLIM_ALG1           ,LLIM_ALG1           ,
    53.000,   360.000,     3.447,     6.406,     0.069,    10.917,     0.000,     0.750,     4.361,    55.100,     1.000,     0.000,     6.373,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.099,         0.118,          0.00,          2.31,     0.109E+04,     0.269E-09,          50.0,          93.2,         0.310,          7.06,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.388E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    53.200,   360.000,     3.214,     5.306,     0.120,    17.136,     0.000,     0.750,     4.128,    55.100,     1.000,     0.000,     5.306,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.567,         0.168,          0.00,          3.69,          216.,     0.770E-10,          50.0,          91.9,         0.312,          8.46,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.296E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    53.400,   360.000,     3.266,     7.142,    -0.149,   -20.968,     0.000,     0.750,     4.180,    55.100,     1.000,     0.000,     7.116,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.564,     0.103E-01,          0.00,         0.271,     0.305E+04,     0.330E-11,          50.0,          99.4,         0.301,          5.30,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.506E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    53.600,   360.000,     3.228,     7.074,     0.048,     6.748,     0.000,     0.750,     4.142,    55.100,     1.000,     0.000,     7.072,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.587,     0.156E-01,          0.00,         0.592,     0.251E+04,     0.481E-11,          50.0,          98.3,         0.302,          5.59,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.486E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    53.801,   360.000,     3.088,     5.401,    -0.007,     0.894,     0.000,     0.750,     4.002,    55.100,     1.000,     0.000,     5.315,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.695,         0.150,          0.00,          3.70,          613.,     0.347E-10,          50.0,          92.8,         0.311,          8.52,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.294E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    54.000,   360.000,     3.134,     7.086,    -0.063,    -7.847,     0.000,     0.750,     4.048,    55.100,     1.000,     0.000,     7.015,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.673,     0.164E-01,          0.00,         0.425,     0.296E+04,     0.321E-11,          50.0,          99.1,         0.301,          5.47,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.493E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    54.201,   360.000,     3.115,     6.928,     0.076,    10.410,     0.000,     0.750,     4.029,    55.100,     1.000,     0.000,     6.866,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.687,     0.297E-01,          0.00,         0.933,     0.235E+04,     0.531E-11,          50.0,          97.8,         0.303,          6.17,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.445E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    54.400,   360.000,     3.111,     6.769,    -0.059,    -7.041,     0.000,     0.750,     4.025,    55.100,     1.000,     0.000,     6.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.695,     0.435E-01,          0.00,          1.32,     0.215E+04,     0.671E-11,          50.0,          97.1,         0.304,          6.55,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.412E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    54.600,   360.000,     3.036,     6.079,     0.081,    10.959,     0.000,     0.750,     3.950,    51.800,     1.000,     0.000,     6.078,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.723,         0.102,          0.00,          2.91,     0.121E+04,     0.173E-10,          50.0,          94.2,         0.308,          7.62,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.332E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    54.800,   360.000,     2.806,     4.906,     0.080,    12.004,     0.000,     0.750,     3.720,    51.800,     1.000,     0.000,     4.906,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.145,         0.637,          0.00,          6.13,          41.4,     0.136E-09,          50.0,          88.1,         0.327,          10.2,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.172E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    55.000,   360.000,     2.684,     6.562,    -0.049,    -2.334,     0.000,     0.750,     3.598,    51.800,     1.000,     0.000,     5.870,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.548,          3.54,          0.00,          6.36,          731.,     0.805E-09,          50.0,          83.5,         0.399,          9.48,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.185E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
