JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,           Gen1,           Gen2,           Gen3,           ISS1,            PO4,            NH4,            NO3,             DO,     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),DODOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d),DOSOD   (kg/d),PLIM_ALG1           ,NLIM_ALG1           ,LLIM_ALG1           ,
    32.000,   360.000,     3.351,    12.000,    -0.001,    -0.043,     0.000,     0.750,     3.350,    28.500,     1.000,     0.000,    12.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,          51.0,          0.00,          0.00,          15.0,          2.00,          50.0,          100.,          1.50,          13.0,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.000E+00,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.201,   360.000,     3.415,    12.000,    -0.007,    -0.493,     0.000,     0.766,     3.414,    28.500,     1.000,     0.000,    12.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.527,          51.0,          0.00,         0.201,          12.2,          1.60,          50.0,          97.1,          1.50,          12.8,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.129E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.400,   360.000,     3.603,    11.998,     0.002,    -0.259,     0.000,     0.762,     3.602,    28.500,     1.000,     0.000,    11.969,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.905,          51.0,          0.00,         0.401,          11.1,          1.24,          50.0,          94.4,          1.50,          12.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.113E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.602,   360.000,     3.691,    11.998,     0.024,    -0.162,     0.000,     0.760,     3.690,    33.600,     1.000,     0.000,    11.230,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.910,          51.0,          0.00,         0.603,          9.09,          1.04,          50.0,          91.7,          1.51,          12.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.122E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.800,   360.000,     3.890,    11.973,     0.026,     0.168,     0.000,     0.760,     3.889,    33.600,     1.000,     0.000,    10.334,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.663,          50.7,          0.00,         0.801,          18.9,         0.993,          50.0,          89.1,          1.50,          12.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.112E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.000,   360.000,     3.872,    11.776,     0.022,     0.012,     0.000,     0.760,     3.871,    33.600,     1.000,     0.000,     9.788,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.678,          48.2,          0.00,         0.992,          89.4,         0.981,          50.0,          87.0,          1.45,          12.1,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.938E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.201,   360.000,     3.878,    11.401,     0.017,    -0.033,     0.000,     0.759,     3.877,    33.600,     1.000,     0.000,     9.547,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.666,          43.5,          0.00,          1.17,          200.,         0.901,          50.0,          85.6,          1.34,          11.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.379E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.400,   360.000,     3.877,    11.020,     0.013,     0.016,     0.000,     0.758,     3.876,    33.600,     1.000,     0.000,     9.362,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.661,          38.7,          0.00,          1.34,          276.,         0.760,          50.0,          84.4,          1.23,          10.8,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.157E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.602,   360.000,     3.877,    10.746,     0.010,    -0.003,     0.000,     0.756,     3.876,    33.600,     1.000,     0.000,     9.227,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.657,          35.3,          0.00,          1.53,          296.,         0.615,          50.0,          83.2,          1.15,          10.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.507E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.800,   360.000,     3.877,    10.560,     0.006,    -0.002,     0.000,     0.755,     3.876,    33.600,     1.000,     0.000,     9.155,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.654,          32.9,          0.00,          1.71,          284.,         0.496,          50.0,          82.0,          1.09,          10.2,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.705E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.000,   360.000,     3.877,    10.489,    -0.000,     0.001,     0.000,     0.754,     3.876,    33.600,     1.000,     0.000,     9.168,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.653,          32.0,          0.00,          1.90,          248.,         0.385,          50.0,          80.4,          1.07,          10.2,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.723E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.201,   360.000,     3.804,    10.505,    -0.006,     0.103,     0.000,     0.753,     3.803,    33.600,     1.000,     0.000,     9.277,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.724,          32.2,          0.00,          2.10,          203.,         0.280,          50.0,          78.5,          1.08,          10.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.597E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.400,   360.000,     3.886,    10.427,    -0.010,     0.070,     0.000,     0.752,     3.885,    33.600,     1.000,     0.000,     9.424,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.644,          31.1,          0.00,          2.29,          180.,         0.212,          50.0,          77.2,          1.05,          10.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.655E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
