JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,           Gen1,           Gen2,           Gen3,           ISS1,            PO4,            NH4,            NO3,             DO,     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),DODOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d),DOSOD   (kg/d),PLIM_ALG1           ,NLIM_ALG1           ,LLIM_ALG1           ,
    32.000,   360.000,     3.355,    12.000,     0.012,     1.343,     0.000,     0.750,     3.659,    43.600,     1.000,     0.000,    12.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,          51.0,          0.00,          0.00,          15.0,          2.00,          50.0,          100.,          1.50,          13.0,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.000E+00,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.201,   360.000,     3.409,    12.000,    -0.130,   -13.941,     0.000,     0.767,     3.713,    43.600,     1.000,     0.000,    12.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.544,          51.0,          0.00,         0.201,          12.2,          1.77,          50.0,          97.1,          1.50,          12.9,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.136E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.400,   360.000,     3.600,    11.999,    -0.033,    -3.898,     0.000,     0.765,     3.904,    43.600,     1.000,     0.000,    11.999,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.909,          51.0,          0.00,         0.400,          8.53,          1.52,          50.0,          94.4,          1.51,          12.7,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.128E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.602,   360.000,     3.689,    11.935,    -0.045,    -5.900,     0.000,     0.763,     3.993,    45.900,     1.000,     0.000,    11.921,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.817,          50.2,          0.00,         0.602,          27.1,          1.30,          50.0,          91.8,          1.49,          12.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.117E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    32.800,   360.000,     3.896,     9.755,     0.084,    11.531,     0.000,     0.756,     4.200,    45.900,     1.000,     0.000,     9.672,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.576,          23.2,          0.00,         0.705,     0.103E+04,         0.582,          50.0,          93.1,         0.852,          8.77,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.176E+02,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.000,   360.000,     3.869,    10.531,     0.018,     1.045,     0.000,     0.757,     4.173,    45.900,     1.000,     0.000,    10.257,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.609,          32.8,          0.00,         0.946,          546.,         0.716,          50.0,          89.6,          1.08,          10.1,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.681E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.201,   360.000,     3.879,    10.969,     0.006,    -2.072,     0.000,     0.757,     4.183,    45.900,     1.000,     0.000,    10.274,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.608,          38.2,          0.00,          1.16,          312.,         0.666,          50.0,          86.5,          1.21,          10.8,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.137E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.400,   360.000,     3.878,    11.554,     0.032,     0.996,     0.000,     0.757,     4.182,    45.900,     1.000,     0.000,    10.447,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.617,          45.5,          0.00,          1.39,          108.,         0.664,          50.0,          82.8,          1.39,          11.6,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.462E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.602,   360.000,     3.877,    11.793,     0.022,    -0.179,     0.000,     0.757,     4.181,    45.900,     1.000,     0.000,    10.520,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.621,          48.4,          0.00,          1.60,          40.0,         0.657,          50.0,          79.9,          1.46,          11.9,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.709E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    33.800,   360.000,     3.877,    11.880,     0.021,    -0.114,     0.000,     0.756,     4.181,    45.900,     1.000,     0.000,    10.540,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.622,          49.5,          0.00,          1.80,          18.7,         0.588,          50.0,          77.5,          1.49,          11.9,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.744E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.000,   360.000,     3.877,    11.931,     0.022,     0.090,     0.000,     0.755,     4.181,    45.900,     1.000,     0.000,    10.528,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.623,          50.1,          0.00,          2.00,          8.66,         0.506,          50.0,          75.2,          1.50,          11.8,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.730E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.201,   360.000,     3.803,    11.532,     0.027,     2.010,     0.000,     0.755,     4.107,    45.900,     1.000,     0.000,    10.858,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.680,          45.2,          0.00,          2.18,          58.9,         0.451,          50.0,          74.6,          1.39,          11.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.256E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.400,   360.000,     3.885,    11.053,    -0.000,     1.289,     0.000,     0.754,     4.189,    45.900,     1.000,     0.000,    10.491,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.603,          39.1,          0.00,          2.34,          107.,         0.359,          50.0,          74.6,          1.24,          10.6,     0.000,     0.000,     0.000,     0.000,     0.000E+00,     0.287E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.602,   360.000,     3.818,    11.398,     0.025,     2.030,     0.000,     0.753,     4.122,    45.900,     1.000,     0.000,    10.774,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.664,          43.5,          0.00,          2.57,          52.3,         0.311,          50.0,          71.2,          1.35,          11.0,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.665E+00,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    34.800,   360.000,     3.773,    11.588,    -0.006,    -2.150,     0.000,     0.753,     4.077,    45.900,     1.000,     0.000,    10.829,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.712,          45.9,          0.00,          2.78,          28.1,         0.259,          50.0,          68.5,          1.41,          11.2,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.233E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.000,   360.000,     3.671,    11.695,     0.050,     5.065,     0.000,     0.752,     3.975,    45.900,     1.000,     0.000,    11.111,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.834,          47.2,          0.00,          2.99,          16.4,         0.244,          50.0,          66.2,          1.44,          11.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.319E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.201,   360.000,     3.418,    11.681,     0.139,    14.103,     0.000,     0.753,     3.722,    43.600,     1.000,     0.000,    11.383,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.344,          47.1,          0.00,          3.19,          14.1,         0.300,          50.0,          64.4,          1.44,          11.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.314E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.400,   360.000,     3.428,    11.664,     0.014,     1.555,     0.000,     0.752,     3.732,    43.600,     1.000,     0.000,    11.360,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.302,          46.8,          0.00,          3.39,          12.2,         0.211,          50.0,          62.8,          1.44,          11.2,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.253E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.602,   360.000,     3.292,    11.768,     0.086,     8.188,     0.000,     0.752,     3.596,    43.600,     1.000,     0.000,    11.519,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.615,          48.1,          0.00,          3.59,          6.99,         0.240,          50.0,          60.6,          1.47,          11.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.361E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    35.800,   360.000,     3.215,    11.822,    -0.101,   -10.069,     0.000,     0.753,     3.519,    43.600,     1.000,     0.000,    11.575,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.687,          48.8,          0.00,          3.79,          4.51,         0.256,          50.0,          58.7,          1.49,          11.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.427E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.000,   360.000,     3.216,    11.764,     0.071,     6.780,     0.000,     0.752,     3.520,    43.600,     1.000,     0.000,    11.578,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.681,          48.1,          0.00,          3.99,          4.89,         0.234,          50.0,          57.4,          1.47,          11.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.345E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.201,   360.000,     3.050,    11.903,     0.131,    11.474,     0.000,     0.752,     3.354,    39.900,     1.000,     0.000,    11.757,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.808,          49.8,          0.00,          4.20,          1.74,         0.204,          50.0,          55.1,          1.51,          11.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.406E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.400,   360.000,     3.035,    11.791,    -0.030,    -2.481,     0.000,     0.752,     3.339,    39.900,     1.000,     0.000,    11.745,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.832,          48.4,          0.00,          4.39,          3.11,         0.218,          50.0,          54.1,          1.48,          11.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.315E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.602,   360.000,     2.832,    11.938,     0.168,    13.503,     0.000,     0.752,     3.136,    39.900,     1.000,     0.000,    11.881,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     1.246,          50.2,          0.00,          4.60,         0.844,         0.166,          50.0,          51.9,          1.53,          11.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.401E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    36.800,   360.000,     2.635,    11.974,     0.059,     4.271,     0.000,     0.751,     2.939,    39.900,     1.000,     0.000,    11.964,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.679,          50.7,          0.00,          4.80,         0.368,         0.149,          50.0,          50.2,          1.54,          11.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.445E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.000,   360.000,     2.617,    11.973,     0.135,    10.062,     0.000,     0.751,     2.921,    39.900,     1.000,     0.000,    11.970,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.695,          50.7,          0.00,          5.00,         0.306,         0.129,          50.0,          48.8,          1.54,          11.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.413E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.201,   360.000,     2.381,    12.000,     0.176,    11.400,     0.000,     0.751,     2.685,    35.000,     1.000,     0.000,    12.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.896,          51.0,          0.00,          5.20,     0.733E-01,     0.902E-01,          50.0,          47.3,          1.55,          11.5,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.361E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.400,   360.000,     2.456,    11.967,    -0.195,   -12.857,     0.000,     0.751,     2.760,    39.900,     1.000,     0.000,    11.967,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.909,          50.6,          0.00,          5.40,         0.280,     0.899E-01,          50.0,          46.1,          1.54,          11.4,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.380E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
    37.602,   360.000,     2.492,    11.951,     0.044,     3.038,     0.000,     0.751,     2.796,    39.900,     1.000,     0.000,    11.950,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.843,          50.4,          0.00,          5.60,         0.229,     0.775E-01,          50.0,          44.9,          1.54,          11.3,     0.000,     0.000,     0.000,     0.000,     0.000E+00,    -0.328E+01,     0.000E+00,     0.000E+00,         1.000,         1.000,         1.000,
