$1980 DeGray Reservoir meteorology                                                    ,,,,,
,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
81.25,6.1,1.7,2.7,5.07,0
81.375,11.1,-0.6,3.8,5.42,0
81.5,14.4,-2.8,4.5,5.94,0
81.625,17.2,-3.3,3,5.94,0
81.75,16.7,-3.9,1.1,6.12,0
81.875,10,-1.1,1.1,2.97,0
82,6.7,-0.6,0,0,0
82.125,5,-0.6,0,0,0
82.25,3.9,0,1.1,4.37,0
82.375,11.1,6.1,3,2.45,7
82.5,16.1,3.3,4.5,2.45,5
82.625,17.8,4.4,5.3,2.62,5
82.75,15.6,5,3.4,2.45,7
82.875,10.6,5,2.3,2.27,6
83,9.4,5.6,0,0,0
83.125,11.7,6.7,1.9,2.62,10
83.25,11.1,6.7,0,0,10
83.375,13.9,8.3,2.3,2.8,10
83.5,12.8,8.3,4.5,2.1,10
83.625,11.1,7.8,2.3,3.32,10
83.75,11.1,8.3,5.7,1.4,10
83.875,11.1,8.9,3.4,1.92,10
84,11.7,10,0,0,10
84.125,12.8,10,5.3,4.2,0
84.25,7.2,0.6,5.3,4.72,8
84.375,8.9,1.1,6.4,4.9,9
84.5,11.1,3.9,4.5,5.24,10
84.625,12.2,4.4,5.7,5.07,8
84.75,11.1,3.9,3.8,5.07,7
84.875,9.4,3.9,3,5.42,10
85,8.9,4.4,4.5,6.29,10
85.125,8.3,3.9,2.7,6.12,10
85.25,8.3,3.9,3,0.35,10
85.375,8.9,4.4,3,1.05,10
85.5,8.9,4.4,3.4,1.05,10
85.625,8.9,4.4,3,1.4,10
85.75,8.9,4.4,3,1.4,10
85.875,8.3,3.9,3.4,1.22,10
86,6.7,2.8,2.7,1.22,10
86.125,7.2,3.3,3.8,1.05,10
86.25,6.1,2.8,3.4,0.87,10
86.375,7.2,3.3,3,1.22,10
86.5,7.8,3.3,3.8,1.4,10
86.625,9.4,3.9,3.4,1.22,10
86.75,10,3.9,3,1.75,8
86.875,8.3,3.9,2.7,0.87,10
87,5.6,2.8,2.3,1.22,0
87.125,6.7,3.3,3,1.22,8
87.25,7.2,3.9,3,1.05,10
87.375,10,5.6,3.4,1.4,10
87.5,12.8,6.1,4.5,1.75,10
87.625,13.9,7.2,4.5,2.1,10
87.75,11.7,8.3,3,1.05,10
87.875,11.1,8.9,4.5,1.4,10
88,11.1,8.9,2.3,0.52,10
88.125,11.1,8.9,2.7,6.29,10
88.25,11.1,9.4,3.4,5.94,8
88.375,13.3,12.2,1.9,3.32,6
88.5,18.9,12.8,3,1.75,4
88.625,23.3,11.7,4.5,5.07,2
88.75,21.1,8.9,3.8,3.85,1
88.875,16.1,8.3,2.7,4.2,0
89,12.8,8.3,0,0,0
89.125,10,7.2,0,0,0
89.25,8.9,6.7,0,0,2
89.375,15,12.8,4.5,2.1,10
89.5,15,13.3,3,1.92,10
89.625,16.7,13.3,6.1,2.27,9
89.75,15.6,12.8,6.1,2.45,10
89.875,15,12.8,3,3.15,10
90,11.7,8.9,2.7,4.9,1
90.125,7.2,3.9,1.9,4.2,0
90.25,4.4,2.2,2.3,3.67,0
90.375,8.9,3.9,6.1,4.2,10
90.5,11.7,4.4,6.4,4.2,10
90.625,10.6,3.9,6.4,4.72,10
90.75,11.1,3.9,5.3,4.55,10
90.875,10.6,3.9,5.3,4.37,10
91,8.3,2.8,3.4,4.55,6
91.125,7.8,2.8,4.5,4.55,3
91.25,8.9,3.3,4.5,5.42,9
91.375,10.6,3.9,4.5,4.9,10
91.5,13.3,4.4,3.8,4.9,5
91.625,16.1,4.4,1.9,5.77,8
91.75,15,5,3.4,1.75,10
91.875,10,5.6,3,2.1,4
92,8.3,5,2.7,2.1,0
92.125,6.1,2.8,2.7,1.92,0
92.25,6.7,3.9,3,2.1,2
92.375,12.8,7.2,4.5,2.45,0
92.5,18.3,9.4,5.3,2.62,0
92.625,22.8,12.2,5.3,2.1,0
92.75,21.7,11.1,3.4,2.45,3
92.875,16.1,11.1,2.3,2.97,2
93,13.3,9.4,1.9,4.37,0
93.125,11.1,7.8,0,0,3
93.25,9.4,6.7,0,0,5
93.375,17.2,12.8,2.3,2.27,5
93.5,23.3,11.1,4.5,1.75,0
93.625,25,12.2,5.3,2.1,1
93.75,21.7,10,4.5,2.97,4
93.875,18.9,12.8,5.3,2.62,8
94,18.3,13.9,1.9,2.97,10
94.125,18.3,13.9,1.9,5.24,10
94.25,17.2,13.9,0,0,10
94.375,18.9,15.6,3.4,4.2,10
94.5,21.1,16.1,5.3,5.59,9
94.625,23.3,8.9,5.7,5.59,3
94.75,21.7,1.1,5.3,5.42,3
94.875,16.1,2.2,4.5,4.72,0
95,13.9,2.8,4.5,5.07,0
95.125,11.7,2.8,3.4,5.59,0
95.25,8.9,1.1,3.4,5.42,0
95.375,13.3,1.7,5.3,5.42,0
95.5,17.2,1.7,5.3,5.07,0
95.625,20.6,-1.1,5.3,5.24,1
95.75,18.9,-2.2,3,5.24,1
95.875,12.2,-1.7,2.3,6.12,2
96,11.7,-1.1,1.9,5.77,2
96.125,10,0.6,2.3,5.94,1
96.25,6.1,1.1,1.1,4.37,0
96.375,15,2.2,2.3,2.1,0
96.5,17.2,2.8,1.9,1.22,0
96.625,20,3.3,3.4,2.45,2
96.75,17.8,2.8,12.1,2.27,1
96.875,12.2,3.9,2.3,2.45,0
97,11.1,3.9,0,0,0
97.125,12.2,5,0,0,10
97.25,11.7,4.4,2.3,2.45,8
97.375,15.6,5.6,4.5,3.15,4
97.5,23.3,5,4.5,2.8,7
97.625,25,5.6,3.8,2.97,8
97.75,21.7,5.6,6.1,3.15,9
97.875,17.2,7.2,2.7,2.97,4
98,18.9,10,3,3.15,7
98.125,17.8,11.1,5.3,3.67,10
98.25,17.2,12.2,4.5,3.32,10
98.375,18.3,13.9,4.9,3.5,10
98.5,21.7,15,3.8,3.32,10
98.625,25,15.6,4.9,2.62,5
98.75,23.9,16.1,6.1,2.45,10
98.875,23.9,16.1,5.3,3.32,10
99,19.4,15.6,3.4,2.62,10
99.125,18.9,13.9,5.3,4.72,5
99.25,13.9,6.7,4.9,4.72,0
99.375,14.4,2.2,8.7,5.24,0
99.5,17.2,5.6,5.7,4.9,5
99.625,17.8,5,8,4.72,5
99.75,18.9,2.8,5.3,4.9,0
99.875,15.6,1.7,3.4,4.72,0
100,11.7,1.7,2.7,4.55,0
100.125,10,1.7,2.7,4.72,0
100.25,8.3,0.6,3.4,4.55,0
100.375,16.1,1.1,6.1,4.72,0
100.5,21.1,-2.2,8,5.24,0
100.625,22.2,-2.2,6.4,5.59,0
100.75,20.6,-3.9,5.3,4.9,5
100.875,13.3,-3.3,2.7,4.55,0
101,10.6,-2.2,2.3,4.55,0
101.125,8.3,-0.6,2.7,4.37,0
101.25,6.7,0,2.7,4.55,0
101.375,17.8,1.7,3,4.37,0
101.5,24.4,1.7,5.3,4.72,3
101.625,26.7,0.6,2.7,4.2,1
101.75,23.3,1.1,3.4,3.32,10
101.875,17.8,2.8,2.7,2.8,2
102,15.6,3.9,2.3,2.27,3
102.125,15,5.6,2.7,2.62,4
102.25,17.2,5.6,3.4,3.15,10
102.375,20.6,11.1,3,3.32,10
102.5,24.4,15,3.8,3.67,10
102.625,22.2,16.7,3.4,3.85,10
102.75,18.3,16.7,1.9,1.92,10
102.875,17.8,16.1,3.4,1.57,10
103,17.2,15.6,3,5.59,10
103.125,12.2,9.4,4.9,6.29,10
103.25,9.4,5.6,6.1,6.12,10
103.375,9.4,4.4,6.4,6.12,10
103.5,10,3.3,3.8,0.17,10
103.625,15,3.9,3.4,1.92,10
103.75,15,2.2,4.5,1.05,10
103.875,13.3,5,3,0.7,10
104,9.4,6.1,5.3,0.52,10
104.125,8.3,5.6,6.4,0.52,10
104.25,7.8,3.9,6.4,0.87,10
104.375,6.7,4.4,5.3,0.52,10
104.5,6.1,2.2,8.7,0.52,10
104.625,5.6,1.1,4.9,5.94,10
104.75,2.8,0,5.3,5.77,10
104.875,3.9,1.7,5.3,5.42,10
105,3.9,1.1,6.1,5.24,10
105.125,4.4,2.2,6.4,4.9,10
105.25,3.9,0.6,3.4,4.55,8
105.375,7.2,1.1,6.8,5.24,8
105.5,8.3,0,5.3,5.07,10
105.625,8.3,-1.7,5.3,4.9,10
105.75,7.8,-1.7,4.9,5.42,7
105.875,5,-1.7,1.1,4.2,0
106,3.3,-0.6,0,0,0
106.125,1.7,-1.1,1.9,4.02,0
106.25,2.8,-1.1,3,4.37,0
106.375,12.2,2.2,4.5,4.55,0
106.5,18.9,2.2,5.3,5.77,0
106.625,22.2,1.7,6.1,5.59,0
106.75,21.1,0,3.4,5.59,0
106.875,12.8,2.8,0,0,0
107,9.4,3.3,0,0,0
107.125,7.2,3.3,0,0,3
107.25,6.1,2.2,0,0,0
107.375,15,6.1,3.4,1.4,4
107.5,18.9,8.9,3.4,1.05,4
107.625,23.3,9.4,3.4,1.57,0
107.75,21.1,8.9,3.4,2.1,0
107.875,15.6,9.4,2.3,2.27,0
108,12.8,7.8,0,0,5
108.125,13.9,7.8,3.4,2.8,0
108.25,11.1,7.8,0,0,3
108.375,16.7,9.4,3.8,4.55,10
108.5,16.7,9.4,1.1,4.55,10
108.625,20.6,10.6,5.3,2.62,6
108.75,16.1,7.8,5.3,5.42,9
108.875,12.2,8.9,2.3,1.22,8
109,11.1,8.3,1.1,0.87,8
109.125,11.1,8.3,0,0,6
109.25,10.6,7.8,2.3,0.35,7
109.375,12.2,11.1,2.7,0.35,9
109.5,18.3,10.6,4.5,1.75,7
109.625,20,10.6,3,1.22,8
109.75,20,10,3,1.05,2
109.875,15.6,9.4,0,0,0
110,12.2,9.4,0,0,0
110.125,12.8,9.4,1.1,5.42,0
110.25,11.7,8.3,1.9,5.42,0
110.375,19.4,10.6,2.3,0.17,0
110.5,24.4,6.7,2.7,0.17,0
110.625,25.6,6.7,0,0,0
110.75,22.2,7.8,3,2.45,0
110.875,16.1,8.9,0,0,0
111,13.3,9.4,1.1,4.2,0
111.125,12.8,8.3,1.9,4.55,0
111.25,11.7,7.8,1.9,4.72,3
111.375,22.8,11.1,2.3,4.2,4
111.5,26.7,10.6,0,0,4
111.625,27.2,11.1,1.9,2.8,6
111.75,25.6,11.7,2.7,2.45,5
111.875,19.4,9.4,2.7,4.2,0
112,16.7,10,0,0,0
112.125,15.6,10,3,4.55,0
112.25,13.9,8.9,2.3,4.37,0
112.375,23.9,11.1,3.4,5.24,0
112.5,29.4,7.8,1.9,5.94,0
112.625,30.6,9.4,1.9,5.07,0
112.75,26.7,12.2,2.3,2.45,0
112.875,20.6,12.2,0,0,0
113,17.8,11.7,2.7,4.37,0
113.125,15.6,10.6,1.9,4.37,0
113.25,14.4,10,1.9,4.37,0
113.375,25,12.2,2.7,5.77,0
113.5,28.9,11.1,0,0,0
113.625,30,13.9,3.4,1.75,0
113.75,27.8,12.8,2.3,2.97,3
113.875,22.2,12.2,1.9,4.37,0
114,18.9,12.2,2.3,4.37,0
114.125,16.7,11.7,2.7,4.37,0
114.25,15.6,11.1,1.9,4.37,3
114.375,23.9,13.3,2.7,4.2,0
114.5,28.9,11.1,4.5,4.37,3
114.625,29.4,10.6,5.3,3.67,3
114.75,27.8,10,3.4,4.37,8
114.875,22.8,9.4,3.8,4.02,0
115,17.8,10,2.3,4.2,0
115.125,16.1,11.1,1.1,4.72,0
115.25,13.9,10.6,1.1,4.02,0
115.375,23.3,15,3.4,4.72,2
115.5,26.7,14.4,3.4,4.9,6
115.625,27.2,15.6,3.8,3.67,10
115.75,22.2,15,1.9,2.62,10
115.875,20.6,15.6,4.5,0.87,7
116,18.9,15,2.3,1.4,10
116.125,17.8,14.4,6.1,1.05,10
116.25,11.7,8.9,4.5,1.05,10
116.375,11.7,8.9,3.4,1.75,10
116.5,12.2,9.4,4.5,0.87,10
116.625,11.1,8.3,4.9,1.05,10
116.75,10.6,7.8,4.5,0.87,10
116.875,10.6,7.8,5.7,0.52,10
117,10,7.2,3.4,0.7,10
117.125,10.6,6.7,2.3,5.07,10
117.25,10.6,7.2,3,0.35,10
117.375,11.7,7.8,2.7,5.94,10
117.5,15,8.9,3.4,0.17,10
117.625,15,8.9,3.4,5.24,10
117.75,13.3,8.3,3,5.94,10
117.875,11.7,7.8,2.3,5.94,10
118,11.1,7.2,3,5.77,10
118.125,10.6,6.1,3.4,5.59,8
118.25,10,6.1,3,5.42,7
118.375,15,7.8,5.3,5.42,3
118.5,18.3,7.8,4.5,5.24,4
118.625,19.4,5,5.3,6.12,8
118.75,18.3,5,3.4,5.77,3
118.875,16.1,5.6,1.9,5.24,8
119,15.6,6.1,2.7,5.07,8
119.125,11.7,5.6,2.7,4.37,3
119.25,10,5.6,2.7,4.55,0
119.375,19.4,7.8,3.8,5.24,0
119.5,23.3,7.8,5.3,4.72,5
119.625,25,7.2,3.8,5.59,4
119.75,23.9,6.1,4.5,5.07,3
119.875,18.9,6.7,3.4,4.72,2
120,15.6,5.6,2.3,6.12,0
120.125,11.1,6.7,1.1,4.37,0
120.25,8.9,6.1,1.9,4.2,0
120.375,20,8.3,1.1,5.42,0
120.5,25,5.6,4.5,5.94,0
120.625,27.2,5.6,6.1,5.07,3
120.75,26.1,4.4,3,4.9,2
120.875,17.8,7.8,1.9,6.12,2
121,15,8.9,2.3,0.35,0
121.125,12.2,7.8,0,0,0
121.25,11.7,7.8,1.9,0.17,7
121.375,17.8,10.6,0,0,10
121.5,22.2,12.8,2.7,1.75,10
121.625,23.9,11.7,1.9,2.62,10
121.75,22.2,12.2,1.9,2.1,8
121.875,19.4,12.2,0,0,10
122,16.7,12.2,0,0,10
122.125,16.7,12.2,0,0,10
122.25,15.6,12.2,1.9,2.8,10
122.375,17.2,14.4,2.3,1.75,10
122.5,17.8,15.6,2.7,0.87,10
122.625,20,16.7,1.9,1.22,10
122.75,19.4,15.6,1.1,1.75,10
122.875,15.6,13.3,0,0,6
123,16.1,13.3,0,0,7
123.125,15,12.8,0,0,10
123.25,15.6,12.8,0,0,10
123.375,18.3,14.4,1.9,0.87,10
123.5,22.2,14.4,2.3,0.87,10
123.625,22.8,12.8,2.3,1.75,10
123.75,19.4,13.9,2.3,6.29,10
123.875,17.2,13.9,0,0,7
124,17.8,13.9,2.3,5.59,10
124.125,17.2,14.4,2.7,5.94,10
124.25,16.7,14.4,3,5.94,10
124.375,20.6,14.4,1.9,5.77,3
124.5,24.4,14.4,1.9,2.1,3
124.625,18.9,13.9,4.5,1.22,9
124.75,21.7,14.4,2.3,1.22,6
124.875,18.3,13.9,0,0,6
125,16.1,13.3,0,0,0
125.125,13.3,12.2,1.9,4.37,0
125.25,12.8,10.6,2.7,4.55,0
125.375,21.1,15.6,0,0,0
125.5,26.7,13.9,1.9,4.2,5
125.625,26.7,12.8,1.1,3.85,8
125.75,23.9,12.2,2.3,4.02,3
125.875,17.8,12.2,0,0,0
126,16.1,12.2,2.3,4.02,0
126.125,14.4,12.2,2.3,4.55,0
126.25,12.8,11.1,2.3,3.5,0
126.375,23.9,17.8,2.3,5.07,6
126.5,27.8,12.2,3.4,5.42,5
126.625,29.4,11.7,3.4,5.42,6
126.75,23.9,11.1,2.3,5.24,8
126.875,19.4,12.2,3.4,5.42,8
127,16.1,13.3,2.7,4.2,6
127.125,15,13.9,0,0,3
127.25,13.9,13.3,0,0,0
127.375,22.8,15.6,0,0,0
127.5,28.3,15,3,4.55,3
127.625,30.6,13.3,4.5,5.77,3
127.75,28.9,12.2,3.8,5.24,2
127.875,21.7,15,2.3,4.2,4
128,20.6,16.1,3,4.37,0
128.125,18.3,16.7,3.4,4.02,0
128.25,17.8,16.7,2.3,4.2,5
128.375,23.3,18.9,3.4,4.02,9
128.5,23.3,18.3,3,4.02,10
128.625,21.1,18.9,3,3.15,10
128.75,16.1,15.6,4.9,1.05,10
128.875,15,15,1.1,1.05,9
129,13.9,13.3,3,6.12,10
129.125,12.8,12.2,0,0,0
129.25,11.7,10.6,2.7,5.77,10
129.375,16.7,11.7,3,0.35,10
129.5,20.6,9.4,1.9,6.12,8
129.625,21.7,7.2,3.4,6.12,10
129.75,18.3,6.1,2.7,0.17,10
129.875,13.9,6.7,2.3,0.17,0
130,12.2,5.6,2.7,6.12,0
130.125,10,4.4,2.3,6.29,0
130.25,8.3,3.9,2.3,0.35,0
130.375,16.1,6.1,2.7,1.92,0
130.5,18.9,4.4,3.4,1.57,3
130.625,20.6,6.7,2.7,0.35,3
130.75,19.4,7.2,2.3,2.1,0
130.875,14.4,8.9,2.3,2.27,0
131,12.2,8.9,2.7,3.15,0
131.125,11.7,8.9,2.3,3.15,0
131.25,12.2,8.9,2.7,2.62,2
131.375,21.1,10.6,4.5,3.67,0
131.5,26.7,15,5.3,3.85,1
131.625,28.9,18.9,6.4,3.5,5
131.75,26.1,18.9,4.5,3.5,8
131.875,23.9,18.9,4.5,3.67,8
132,22.8,19.4,4.5,3.32,6
132.125,19.4,18.9,1.9,3.15,3
132.25,20.6,20,3.8,3.32,8
132.375,23.9,21.1,6.1,3.32,10
132.5,27.8,22.2,5.3,4.02,9
132.625,29.4,22.2,4.5,3.15,7
132.75,26.7,22.2,4.5,3.15,10
132.875,23.9,21.7,3.4,3.15,10
133,21.7,21.1,3.4,3.15,10
133.125,22.8,21.1,2.3,3.5,10
133.25,21.7,21.1,2.7,2.97,10
133.375,21.1,21.1,1.9,2.27,10
133.5,21.1,21.1,3,4.02,10
133.625,20,20,4.5,3.15,10
133.75,20,20,4.5,3.15,10
133.875,20,19.4,3,3.67,2
134,18.9,18.9,1.9,3.85,0
134.125,16.7,16.7,0,0,3
134.25,19.4,18.9,2.7,4.02,10
134.375,21.1,21.1,2.3,3.5,10
134.5,26.7,22.2,4.5,4.2,4
134.625,27.8,21.1,4.5,3.5,10
134.75,26.1,21.7,2.7,3.67,10
134.875,21.1,18.9,3.4,6.12,10
135,20,16.1,2.7,6.29,8
135.125,16.7,13.9,3.8,1.4,6
135.25,15.6,11.7,5.7,1.05,8
135.375,16.7,11.1,5.7,1.57,7
135.5,20,12.8,3.4,1.57,6
135.625,21.1,13.3,4.5,1.22,7
135.75,18.9,12.8,4.5,1.05,10
135.875,16.7,12.8,2.7,1.05,10
136,15.6,13.3,1.9,1.22,8
136.125,15.6,13.3,3.4,1.05,5
136.25,15.6,12.8,3.4,1.22,10
136.375,15,13.9,4.9,1.22,10
136.5,16.1,14.4,4.5,1.57,10
136.625,16.1,15.6,6.4,1.22,10
136.75,17.2,15,6.1,1.22,10
136.875,15.6,15.6,4.5,1.4,10
137,16.1,16.1,6.4,1.4,10
137.125,17.2,17.2,3,6.29,10
137.25,17.2,17.2,1.9,1.05,10
137.375,18.9,18.9,1.1,0.17,10
137.5,22.2,21.1,2.3,2.1,10
137.625,25.6,21.1,2.7,1.22,8
137.75,23.9,21.1,4.5,2.27,10
137.875,22.2,21.1,3,2.1,10
138,20,20,1.1,3.15,10
138.125,19.4,19.4,2.3,3.67,10
138.25,18.9,18.9,2.3,4.2,10
138.375,24.4,19.4,1.9,5.07,0
138.5,27.8,18.9,6.1,4.37,6
138.625,29.4,16.7,5.3,4.55,3
138.75,27.8,13.9,4.5,5.07,0
138.875,18.9,15.6,0,0,0
139,17.2,15.6,0,0,0
139.125,17.2,16.1,0,0,0
139.25,17.2,16.1,0,0,0
139.375,25,19.4,3,5.77,3
139.5,27.8,20.6,2.3,0.17,6
139.625,26.7,19.4,3,2.62,9
139.75,26.1,21.1,2.7,2.45,7
139.875,22.8,19.4,4.9,5.24,8
140,20.6,19.4,2.7,5.77,10
140.125,19.4,19.4,3,6.29,7
140.25,18.9,18.3,2.3,0.35,10
140.375,20.6,17.2,1.9,0.52,10
140.5,21.7,16.7,3,1.57,10
140.625,22.8,16.7,1.9,1.57,10
140.75,22.2,17.8,1.9,1.92,8
140.875,18.3,17.8,0,0,3
141,16.7,16.1,0,0,0
141.125,16.1,15,0,0,0
141.25,16.7,16.7,0,0,6
141.375,22.2,16.7,1.9,6.29,0
141.5,25,14.4,2.3,0.17,4
141.625,26.7,13.3,0,0,8
141.75,23.9,16.7,1.1,2.27,8
141.875,21.1,17.2,2.7,5.77,10
142,19.4,17.8,1.9,0.87,10
142.125,17.2,16.7,2.3,1.05,8
142.25,17.8,17.2,0,0,10
142.375,18.9,17.2,3.8,0.87,10
142.5,19.4,17.2,3,0.87,10
142.625,22.2,18.3,4.5,1.4,9
142.75,18.9,18.9,4.5,3.15,10
142.875,18.3,18.3,1.9,5.94,10
143,17.8,17.8,0,0,10
143.125,17.8,17.8,2.7,0.7,10
143.25,17.8,17.8,3,0.17,10
143.375,18.3,17.2,2.7,6.29,10
143.5,19.4,17.2,3,0.35,10
143.625,17.8,16.1,3.8,5.94,10
143.75,17.2,15.6,5.3,5.77,10
143.875,17.2,15.6,3.4,5.77,10
144,17.2,16.1,3,4.9,10
144.125,17.2,15.6,1.9,4.37,10
144.25,17.2,15.6,3.4,4.2,10
144.375,20,17.2,4.5,4.72,10
144.5,20.6,15.6,3,5.07,10
144.625,23.9,15.6,5.3,5.59,8
144.75,22.8,16.7,2.7,3.67,8
144.875,18.3,16.7,0,0,0
145,16.7,15.6,1.9,4.37,0
145.125,15,14.4,0,0,0
145.25,15.6,15,0,0,6
145.375,23.9,19.4,1.1,3.85,2
145.5,28.3,18.9,1.9,3.32,2
145.625,29.4,19.4,3,3.5,5
145.75,27.2,20,2.7,2.97,8
145.875,22.8,20.6,0,0,6
146,22.2,20,0,0,3
146.125,19.4,18.3,0,0,0
146.25,21.1,20,0,0,5
146.375,27.2,22.8,1.1,5.24,3
146.5,31.1,23.9,1.9,2.62,8
146.625,31.1,23.3,1.9,2.1,5
146.75,28.9,22.8,2.7,1.4,7
146.875,23.9,21.1,2.3,1.92,7
147,22.2,21.1,0,0,0
147.125,21.1,20,0,0,0
147.25,20,18.9,0,0,2
147.375,26.7,20,3.4,1.57,0
147.5,28.9,18.9,2.7,1.75,2
147.625,30.6,17.8,3,1.22,0
147.75,28.9,18.9,3,1.92,0
147.875,24.4,19.4,0,0,0
148,21.1,19.4,0,0,0
148.125,21.1,19.4,0,0,0
148.25,18.9,18.3,1.1,1.4,0
148.375,25,18.3,2.7,1.57,10
148.5,28.3,17.2,2.7,1.22,6
148.625,30.6,18.3,3.8,0.87,4
148.75,28.3,15.6,3.4,1.22,8
148.875,22.8,16.1,0,0,0
149,18.3,16.1,0,0,3
149.125,16.1,15.6,0,0,3
149.25,17.2,16.1,0,0,4
149.375,26.1,17.2,2.3,2.27,1
149.5,31.1,18.3,2.3,2.62,8
149.625,27.2,21.1,2.7,3.32,10
149.75,22.2,20.6,1.1,1.57,10
149.875,21.1,19.4,0,0,10
150,20.6,19.4,0,0,10
150.125,20,19.4,0,0,10
150.25,20.6,20,1.9,4.2,9
150.375,23.3,21.7,4.5,3.67,10
150.5,27.8,21.7,4.5,3.85,10
150.625,28.9,21.1,5.3,4.02,8
150.75,27.8,20.6,2.3,2.97,8
150.875,23.9,20.6,0,0,5
151,22.8,20,4.9,3.15,0
151.125,22.8,17.8,3.4,3.15,4
151.25,22.2,18.9,3,2.8,10
151.375,24.4,19.4,4.5,3.15,10
151.5,28.9,19.4,3,4.02,5
151.625,32.2,20,6.1,3.15,7
151.75,29.4,19.4,4.5,3.5,4
151.875,25,20.6,2.3,3.15,5
152,24.4,19.4,3.8,2.97,5
152.125,23.3,19.4,2.7,3.15,4
152.25,22.2,20,1.1,3.5,8
152.375,25,21.1,1.9,1.22,9
152.5,30.6,21.1,3.4,3.67,8
152.625,31.7,20.6,6.1,3.5,5
152.75,30,21.1,2.7,3.67,4
152.875,26.7,21.1,4.5,3.15,0
153,25,20.6,2.7,3.32,0
153.125,23.9,20.6,4.5,3.32,3
153.25,22.8,20,3.8,3.32,8
153.375,26.7,20.6,4.5,3.67,9
153.5,29.4,20,6.1,4.2,7
153.625,30,20,6.1,3.32,8
153.75,28.3,20.6,4.5,3.5,8
153.875,25,21.1,4.5,3.32,7
154,25,20.6,2.7,3.5,8
154.125,22.8,20,3.8,3.67,6
154.25,22.8,20,4.5,3.5,8
154.375,27.2,20,5.3,3.5,8
154.5,28.9,20,4.5,4.02,8
154.625,30,20.6,5.3,3.85,8
154.75,29.4,21.1,4.5,3.5,6
154.875,25.6,20.6,4.5,3.15,2
155,22.8,20,2.3,4.02,2
155.125,20.6,18.9,1.9,2.97,1
155.25,22.2,20.6,1.9,4.2,5
155.375,27.8,21.7,5.3,4.02,4
155.5,30,21.7,3,4.2,7
155.625,31.1,20,3,3.5,5
155.75,30,21.1,2.7,4.02,10
155.875,26.1,21.7,0,0,5
156,23.9,21.7,2.7,2.97,6
156.125,22.8,20.6,0,0,7
156.25,22.2,20.6,0,0,5
156.375,28.9,20,3.8,3.85,5
156.5,31.7,20.6,4.5,3.67,5
156.625,33.3,21.1,3.4,3.5,4
156.75,31.1,21.7,2.7,3.67,2
156.875,27.2,22.2,3.4,3.32,2
157,24.4,20.6,2.3,4.2,3
157.125,22.8,20,0,0,3
157.25,21.7,20,0,0,10
157.375,28.3,21.1,4.5,4.2,0
157.5,32.2,20.6,4.5,3.32,4
157.625,32.2,19.4,3.4,3.5,5
157.75,31.1,19.4,3.4,3.5,0
157.875,25,18.9,2.3,3.15,0
158,22.8,19.4,0,0,0
158.125,21.7,19.4,1.9,4.2,1
158.25,23.9,21.1,3.4,4.02,10
158.375,26.7,22.8,3,4.2,10
158.5,32.2,22.2,5.3,3.67,6
158.625,33.3,22.8,4.5,3.5,5
158.75,31.7,22.2,3.8,3.67,4
158.875,27.2,22.2,2.7,3.15,3
159,24.4,21.7,0,0,0
159.125,23.9,21.7,3.4,3.85,0
159.25,23.3,21.7,2.3,3.15,5
159.375,27.2,22.8,5.3,4.37,10
159.5,30.6,23.3,5.3,3.67,7
159.625,33.3,22.8,6.4,3.67,4
159.75,31.7,23.3,3.4,3.85,10
159.875,28.9,23.9,3,4.02,6
160,27.2,23.9,3.4,4.2,3
160.125,27.8,23.9,3.4,5.94,10
160.25,26.7,18.9,4.5,0.35,10
160.375,25,17.2,6.8,0.52,10
160.5,24.4,16.1,4.5,0.35,10
160.625,25,16.1,3.4,5.77,10
160.75,22.2,15.6,4.9,0.7,7
160.875,20.6,15,3.4,6.29,5
161,18.9,13.9,2.7,6.29,3
161.125,17.2,11.7,3.4,6.29,4
161.25,16.7,11.1,2.7,0.17,5
161.375,21.1,11.1,3,1.05,9
161.5,23.9,10,3.4,0.35,8
161.625,26.7,8.9,3.4,0.52,4
161.75,25.6,10,3,4.9,0
161.875,18.3,12.2,0,0,0
162,16.1,13.9,1.9,4.2,0
162.125,14.4,12.2,2.3,4.37,2
162.25,14.4,10,1.9,4.37,0
162.375,25,13.9,3.4,5.42,0
162.5,28.9,10.6,3,6.29,0
162.625,30.6,13.3,4.5,0.52,4
162.75,30,12.8,1.1,2.1,1
162.875,22.2,16.1,1.9,4.2,0
163,20,17.2,1.9,4.55,0
163.125,18.3,16.1,0,0,0
163.25,18.3,16.1,3,0.7,6
163.375,23.9,16.1,3,0.87,5
163.5,28.9,17.2,3.4,1.05,3
163.625,31.1,15.6,2.7,1.75,2
163.75,29.4,13.9,3,0.52,2
163.875,22.2,14.4,2.7,1.22,1
164,17.8,12.2,2.7,1.05,0
164.125,16.1,11.1,0,0,0
164.25,15,8.3,2.3,0.87,4
164.375,22.8,10.6,3.8,1.75,3
164.5,27.2,10,2.7,1.22,8
164.625,28.9,10.6,2.3,1.57,9
164.75,28.3,8.9,1.9,1.57,7
164.875,20.6,11.7,0,0,3
165,17.2,12.2,0,0,1
165.125,15,12.8,0,0,1
165.25,14.4,13.3,0,0,0
165.375,26.1,13.9,2.3,3.5,0
165.5,31.1,14.4,3.4,4.02,0
165.625,32.2,15.6,2.7,4.02,0
