$1980 DeGray Reservoir meteorology                                                    ,,,,,
,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
19.625,17.8,8.3,3.4,2.1,6
19.75,12.2,7.8,2.7,1.75,7
19.875,12.8,7.8,3,0.35,10
20,10.6,8.3,2.3,0.17,10
20.125,9.4,7.8,0,0,10
20.25,9.4,7.2,2.3,0.52,10
20.375,9.4,6.1,3.4,1.05,9
20.5,11.1,5.6,3,0.52,10
20.625,12.8,4.4,4.5,1.22,10
20.75,10.6,3.9,2.7,0.87,10
20.875,8.9,5.6,2.7,1.4,10
21,8.3,5.6,3,0.87,10
21.125,7.2,4.4,3,1.4,10
21.25,6.1,4.4,3.4,1.57,10
21.375,5.6,4.4,2.7,1.57,10
21.5,6.1,4.4,2.7,0.87,10
21.625,6.1,5,0,0,10
21.75,5.6,5,1.9,1.22,10
21.875,6.1,5,0,0,10
22,6.1,5.6,0,0,10
22.125,6.7,6.1,3,6.29,10
22.25,7.2,6.7,3,6.29,10
22.375,6.7,5.6,3,0.17,10
22.5,7.8,5.6,4.5,6.29,10
22.625,8.3,1.1,5.3,6.12,7
22.75,7.2,-0.6,2.7,5.94,4
22.875,4.4,-1.7,6.1,5.24,8
23,2.2,-2.8,3.4,5.77,0
23.125,1.7,-3.3,3,5.59,0
23.25,-0.6,-6.7,2.7,5.94,0
23.375,2.2,-5.6,2.7,4.2,0
23.5,6.7,-6.1,5.3,4.37,0
23.625,10,-6.1,3.8,4.72,0
23.75,7.2,-5.6,2.3,4.72,0
23.875,5,-3.9,2.7,4.37,0
24,3.9,-2.2,4.5,4.2,0
24.125,2.8,-1.7,2.7,4.37,0
24.25,2.8,-0.6,3.8,4.02,0
24.375,6.7,1.7,3.8,4.2,1
24.5,15.6,6.1,4.5,4.72,3
24.625,20.6,8.3,6.8,4.37,7
24.75,15.6,3.9,3,4.02,5
24.875,11.7,5.6,2.3,3.85,0
25,11.1,5.6,3.4,4.2,0
25.125,10.6,5.6,4.5,3.85,0
25.25,7.2,1.1,3,4.02,3
25.375,9.4,1.1,2.3,4.37,10
25.5,12.2,0,2.7,4.37,10
25.625,14.4,0,2.7,1.92,10
25.75,11.1,1.7,2.7,1.4,10
25.875,10.6,2.2,3,1.4,10
26,8.3,2.8,2.7,1.05,4
26.125,8.9,3.3,2.3,1.4,9
26.25,8.3,3.3,2.3,0.35,10
26.375,8.3,1.1,4.9,0.87,10
26.5,8.9,1.1,5.3,0.87,10
26.625,10,0.6,3.4,0.87,3
26.75,6.1,-0.6,3.8,1.22,3
26.875,5,-1.1,4.5,1.05,10
27,5,-3.3,3.4,0.52,10
27.125,4.4,-5,3.4,0.52,8
27.25,3.9,-6.7,2.7,0.17,10
27.375,3.9,-7.2,3,0.52,10
27.5,6.1,-6.7,3,0.7,10
27.625,6.7,-6.1,1.9,5.07,10
27.75,6.1,-5.6,3,6.12,10
27.875,5.6,-5.6,2.3,0.87,10
28,4.4,-4.4,3.4,1.92,10
28.125,3.9,-4.4,3.8,1.75,10
28.25,2.8,-5,3.8,1.4,10
28.375,2.8,-5.6,3.4,1.4,10
28.5,2.2,-6.7,2.3,1.57,10
28.625,1.7,-6.7,3.4,1.05,10
28.75,1.1,-5,4.5,0.87,10
28.875,-0.6,-5.6,4.9,1.05,10
29,-0.6,-5,2.7,1.22,10
29.125,-1.1,-5,5.3,0.87,10
29.25,-1.7,-5.6,3.4,0.7,10
29.375,-1.7,-6.7,4.5,0.87,10
29.5,-0.6,-7.2,4.5,1.4,10
29.625,-0.6,-8.3,4.5,1.4,10
29.75,-0.6,-8.3,5.7,1.22,10
29.875,-1.1,-8.9,4.5,1.4,10
30,-1.1,-7.2,3.4,1.57,10
30.125,-1.1,-6.1,3.4,1.57,10
30.25,-0.6,-4.4,3.4,1.57,10
30.375,-0.6,-3.9,3,0.87,10
30.5,0,-3.3,3,1.4,10
30.625,0,-3.3,2.7,0.35,10
30.75,-0.6,-3.3,3.4,0.17,10
30.875,-1.1,-4.4,3.8,6.12,10
31,-1.1,-5.6,6.8,0.17,10
31.125,-3.3,-8.3,5.3,6.12,4
31.25,-4.4,-9.4,4.5,0.35,9
31.375,-4.4,-10,4.5,5.94,8
31.5,-2.8,-8.9,3.8,6.12,5
31.625,-1.7,-8.3,3.4,5.59,8
31.75,-2.8,-9.4,2.7,6.29,4
31.875,-3.3,-10.6,3,5.94,0
32,-5,-11.1,3,6.12,0
32.125,-6.7,-11.7,4.5,6.29,0
32.25,-7.8,-12.8,1.9,0.35,0
32.375,-6.7,-13.9,4.9,0.7,0
32.5,-3.3,-11.1,1.9,1.57,2
32.625,-1.1,-10,3.4,2.1,3
32.75,-3.3,-10,2.3,2.27,2
32.875,-5,-10.6,1.1,2.27,2
33,-6.1,-10,0,0,6
33.125,-5,-9.4,2.3,2.1,6
33.25,-6.1,-10.6,1.1,3.15,2
33.375,-3.9,-8.3,1.1,3.15,6
33.5,0,-6.7,2.7,3.5,10
33.625,0.6,-7.2,3.4,2.62,10
33.75,0,-6.1,2.7,2.97,10
33.875,-1.1,-5.6,1.9,3.5,8
34,-2.2,-5,1.1,3.15,10
34.125,-1.1,-4.4,0,0,10
34.25,0,-3.9,2.3,3.5,10
34.375,0,-3.9,1.1,2.97,10
34.5,2.2,-1.7,1.1,2.1,10
34.625,3.3,-2.2,2.3,1.75,10
34.75,2.2,-2.2,2.7,1.22,10
34.875,1.7,-2.2,2.3,0.7,10
35,1.1,-2.2,2.3,1.22,10
35.125,1.1,-2.8,3,0.87,10
35.25,0.6,-3.3,3,0.87,10
35.375,0,-5.6,3,1.22,10
35.5,4.4,-3.3,5.3,2.27,6
35.625,4.4,-3.9,3.8,1.92,10
35.75,3.9,-3.3,3,1.75,10
35.875,2.8,-3.9,3.4,1.75,10
36,2.2,-3.9,2.3,1.57,10
36.125,1.7,-2.8,2.7,1.92,10
36.25,1.7,-2.8,1.9,0.52,10
36.375,1.7,-2.2,0,0,10
36.5,3.9,0.6,2.7,4.37,9
36.625,8.9,2.2,1.9,5.94,3
36.75,8.3,1.7,1.9,3.32,3
36.875,7.2,1.1,2.7,5.77,10
37,3.9,-2.2,3,4.37,0
37.125,1.1,-3.9,2.3,4.37,0
37.25,2.2,-5,3.8,5.59,0
37.375,3.9,-4.4,3.4,5.42,0
37.5,6.7,-4.4,4.5,6.12,3
37.625,8.3,-6.7,1.1,0.17,0
37.75,3.9,-6.7,2.3,0.7,0
37.875,1.1,-7.8,3.4,1.05,0
38,-1.7,-7.8,3,0.87,0
38.125,-2.8,-8.3,2.3,0.87,0
