JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.011,     1.000,     2.000,    20.000,     0.000,     0.000,     0.000,     0.450,     2.100,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.015,     1.152,     1.944,    20.000,     0.133,    16.222,     0.000,     0.450,     2.044,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.996,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.019,     1.233,     1.915,    20.000,     0.193,    22.519,     0.000,     0.450,     2.015,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.992,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.024,     1.373,     1.888,    20.000,     0.186,    21.439,     0.000,     0.450,     1.988,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.987,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.028,     1.666,     1.850,    20.000,     0.182,    20.624,     0.000,     0.450,     1.950,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.983,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.032,     2.258,     1.835,    20.000,     0.173,    19.446,     0.000,     0.450,     1.935,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.979,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.036,     2.869,     1.815,    20.000,     0.144,    16.058,     0.000,     0.450,     1.915,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.975,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.040,     3.642,     1.809,    20.000,     0.108,    12.077,     0.000,     0.450,     1.909,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.971,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.044,     5.557,     1.794,    20.000,     0.083,     9.104,     0.000,     0.450,     1.894,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.966,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.049,     8.984,     1.790,    20.000,     0.060,     6.542,     0.000,     0.450,     1.890,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.962,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.053,     7.615,     1.797,    20.000,     0.010,     0.888,     0.000,     0.450,     1.897,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.958,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.057,     8.802,     1.799,    20.000,    -0.049,    -5.686,     0.000,     0.450,     1.899,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.954,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.061,     7.023,     1.799,    20.000,    -0.050,    -5.478,     0.000,     0.450,     1.899,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.950,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.065,     7.045,     1.802,    20.000,    -0.033,    -3.513,     0.000,     0.450,     1.902,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.945,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.070,    13.451,     1.807,    20.000,    -0.024,    -2.539,     0.000,     0.450,     1.907,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.941,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.074,    13.845,     1.809,    20.000,    -0.018,    -1.934,     0.000,     0.450,     1.909,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.937,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.078,     7.465,     1.805,    20.000,     0.002,     0.407,     0.000,     0.450,     1.905,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.933,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.082,     5.466,     1.804,    20.000,     0.030,     3.515,     0.000,     0.450,     1.904,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.929,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.086,     6.364,     1.802,    20.000,     0.035,     3.928,     0.000,     0.450,     1.902,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.924,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.090,     5.731,     1.799,    20.000,     0.026,     2.874,     0.000,     0.450,     1.899,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.920,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.094,     5.649,     1.798,    20.000,     0.011,     1.145,     0.000,     0.450,     1.898,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.916,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.099,     5.754,     1.800,    20.000,    -0.013,    -1.591,     0.000,     0.450,     1.900,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.912,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.103,     5.115,     1.801,    20.000,    -0.026,    -2.989,     0.000,     0.450,     1.901,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.908,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.107,     5.325,     1.801,    20.000,    -0.021,    -2.339,     0.000,     0.450,     1.901,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.904,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.111,     5.460,     1.802,    20.000,    -0.008,    -0.783,     0.000,     0.450,     1.902,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.899,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.115,     5.733,     1.805,    20.000,    -0.002,    -0.165,     0.000,     0.450,     1.905,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.895,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.119,     4.966,     1.805,    20.000,    -0.002,    -0.105,     0.000,     0.450,     1.905,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.891,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.124,     5.780,     1.802,    20.000,     0.007,     0.952,     0.000,     0.450,     1.902,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.887,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
