JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.011,     1.000,     2.000,    20.000,     0.000,     0.000,     0.000,     0.450,     2.400,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.015,     1.152,     1.951,    20.000,     0.031,    15.167,     0.000,     0.450,     2.351,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.996,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.019,     1.233,     1.919,    20.000,     0.007,     2.219,     0.000,     0.450,     2.319,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.992,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.024,     1.373,     1.901,    20.000,     0.014,     7.213,     0.000,     0.450,     2.301,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.987,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.028,     1.666,     1.865,    20.000,     0.061,    32.604,     0.000,     0.450,     2.265,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.983,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.032,     2.258,     1.826,    20.000,     0.026,    13.000,     0.000,     0.450,     2.226,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.979,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.036,     2.869,     1.817,    20.000,     0.013,     6.583,     0.000,     0.450,     2.217,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.975,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.040,     3.642,     1.810,    20.000,     0.015,     7.480,     0.000,     0.450,     2.210,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.971,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.044,     5.557,     1.794,    20.000,     0.026,    13.324,     0.000,     0.450,     2.194,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.966,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.049,     8.984,     1.788,    20.000,    -0.006,    -3.635,     0.000,     0.450,     2.188,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.962,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.053,     7.615,     1.794,    20.000,    -0.010,    -5.503,     0.000,     0.450,     2.194,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.958,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.057,     8.802,     1.801,    20.000,    -0.001,    -0.580,     0.000,     0.450,     2.201,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.954,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.061,     7.023,     1.797,    20.000,     0.002,     0.969,     0.000,     0.450,     2.197,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.950,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.065,     7.045,     1.803,    20.000,    -0.011,    -5.804,     0.000,     0.450,     2.203,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.945,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.070,    13.451,     1.810,    20.000,    -0.006,    -3.117,     0.000,     0.450,     2.210,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.941,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.074,    13.845,     1.808,    20.000,     0.008,     4.399,     0.000,     0.450,     2.208,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.937,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.078,     7.465,     1.803,    20.000,     0.003,     1.499,     0.000,     0.450,     2.203,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.933,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.082,     5.466,     1.803,    20.000,    -0.001,    -0.362,     0.000,     0.450,     2.203,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.929,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.086,     6.364,     1.803,    20.000,     0.003,     1.476,     0.000,     0.450,     2.203,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.924,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.090,     5.731,     1.799,    20.000,     0.006,     3.278,     0.000,     0.450,     2.199,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.920,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.094,     5.649,     1.796,    20.000,    -0.001,    -0.852,     0.000,     0.450,     2.196,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.916,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.099,     5.754,     1.800,    20.000,    -0.005,    -2.658,     0.000,     0.450,     2.200,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.912,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.103,     5.115,     1.801,    20.000,     0.001,     0.286,     0.000,     0.450,     2.201,   419.330,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.908,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
