JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.011,     1.000,     2.011,    20.000,     0.007,     0.122,     0.000,     0.450,     2.011,    10.930,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.015,     1.152,     2.040,    17.819,     0.153,     1.995,     0.000,     0.450,     2.040,    10.930,     1.000,    17.999,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         5.660,         9.996,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.019,     1.233,     1.946,    17.667,     0.171,     2.293,     0.000,     0.450,     1.946,    10.930,     1.000,    17.847,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         3.615,         9.992,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.024,     1.373,     1.848,    17.598,     0.162,     2.049,     0.000,     0.450,     1.848,    10.930,     1.000,    17.768,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         2.685,         9.987,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.028,     1.666,     1.882,    17.582,     0.154,     2.009,     0.000,     0.450,     1.882,    10.930,     1.000,    17.745,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         2.483,         9.983,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.032,     2.258,     1.910,    17.564,     0.146,     2.022,     0.000,     0.450,     1.910,    10.930,     1.000,    17.696,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         2.237,         9.979,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.036,     2.869,     1.861,    17.539,     0.149,     2.050,     0.000,     0.450,     1.861,    10.930,     1.000,    17.644,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.902,         9.975,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.040,     3.642,     1.809,    17.519,     0.151,     2.019,     0.000,     0.450,     1.809,    10.930,     1.000,    17.609,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.627,         9.971,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.044,     5.557,     1.798,    17.505,     0.149,     1.972,     0.000,     0.450,     1.798,    10.930,     1.000,    17.593,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.435,         9.966,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.049,     8.984,     1.837,    17.503,     0.144,     1.991,     0.000,     0.450,     1.837,    10.930,     1.000,    17.593,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.411,         9.962,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.053,     7.615,     1.825,    17.498,     0.144,     1.999,     0.000,     0.450,     1.825,    10.930,     1.000,    17.555,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.340,         9.958,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.057,     8.802,     1.822,    17.497,     0.145,     1.997,     0.000,     0.450,     1.822,    10.930,     1.000,    17.570,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.338,         9.954,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.061,     7.023,     1.824,    17.492,     0.144,     2.001,     0.000,     0.450,     1.824,    10.930,     1.000,    17.552,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.267,         9.950,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.065,     7.045,     1.822,    17.493,     0.144,     1.996,     0.000,     0.450,     1.822,    10.930,     1.000,    17.560,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.275,         9.945,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.070,    13.451,     1.832,    17.495,     0.142,     1.999,     0.000,     0.450,     1.832,    10.930,     1.000,    17.559,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,         1.302,         9.941,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
