JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),            TDS,     EPI(g/m2),     SED(Organic matter in sediments g/m3),    SEDP(OrgP in sediments gP/m3),    SEDN(OrgN in sediments gN/m3),    SEDC(OrgCSediments gC/m3),PLIM_ALG1           ,PLIM_ALG2           ,PLIM_ALG3           ,NLIM_ALG1           ,NLIM_ALG2           ,NLIM_ALG3           ,LLIM_ALG1           ,LLIM_ALG2           ,LLIM_ALG3           ,EPLIM_1,ENLIM_1,ELLIM_1,
     1.011,     1.000,     1.800,    20.000,     0.000,     0.000,     0.000,     0.450,     1.200,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,        10.000,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,
     1.015,     1.561,     1.949,    20.000,    -0.173,   -11.429,     0.000,     0.450,     1.349,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.996,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.019,     1.418,     1.988,    20.000,    -0.202,   -14.214,     0.000,     0.450,     1.388,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.992,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.024,     1.558,     2.000,    20.000,    -0.224,   -13.972,     0.000,     0.450,     1.400,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.987,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.028,     1.595,     2.021,    20.000,    -0.230,   -14.678,     0.000,     0.450,     1.421,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.983,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.032,     3.795,     1.971,    20.000,    -0.157,   -10.979,     0.000,     0.450,     1.371,     9.130,     1.000,    20.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.979,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.036,     8.116,     1.997,    20.008,    -0.161,   -10.995,     0.000,     0.450,     1.397,     9.130,     1.000,    20.022,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.975,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.040,     7.171,     2.015,    20.975,    -0.187,   -11.698,     0.000,     0.450,     1.415,     9.130,     1.000,    21.044,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.971,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.044,     6.785,     2.026,    20.634,    -0.181,   -11.283,     0.000,     0.450,     1.426,     9.130,     1.000,    20.985,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.966,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.049,     7.842,     2.004,    21.175,    -0.153,    -9.234,     0.000,     0.450,     1.404,     9.130,     1.000,    21.291,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.962,     0.000,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.053,     6.971,     1.988,    20.808,    -0.085,    -6.385,     0.000,     0.450,     1.388,     9.130,     1.000,    21.677,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.958,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.057,    15.721,     1.993,    20.272,    -0.079,    -5.437,     0.000,     0.450,     1.393,     9.130,     1.000,    21.154,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.954,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.061,    16.750,     2.000,    20.705,    -0.084,    -5.336,     0.000,     0.450,     1.400,     9.130,     1.000,    21.261,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.950,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.065,    14.277,     2.007,    20.968,    -0.084,    -5.177,     0.000,     0.450,     1.407,     9.130,     1.000,    21.342,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.945,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.069,    20.642,     1.995,    20.985,    -0.047,    -3.049,     0.000,     0.450,     1.395,     9.130,     1.000,    21.603,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.941,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.074,    12.253,     1.994,    21.710,     0.002,    -0.206,     0.000,     0.450,     1.394,     9.130,     1.000,    22.044,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.937,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.078,    12.548,     1.999,    21.726,     0.019,     0.703,     0.000,     0.450,     1.399,     9.130,     1.000,    22.025,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.933,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.082,    31.051,     2.005,    21.949,    -0.012,    -0.973,     0.000,     0.450,     1.405,     9.130,     1.000,    22.049,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.928,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
     1.086,    17.186,     2.007,    21.658,    -0.041,    -2.595,     0.000,     0.450,     1.407,     9.130,     1.000,    21.970,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,        35.000,         9.924,     0.001,     0.000,     0.000,     0.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         1.000,         0.000,         0.000,         0.000,
