Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
406,  3,        6007.50,   488253.14756,  3600497.55619, 11,    -0.500
405,  3,        5992.50,   488265.25771,  3600488.70496, 11,    -0.500
404,  3,        5977.50,   488277.36787,  3600479.85374, 11,    -0.700
403,  3,        5962.50,   488289.47803,  3600471.00252, 11,    -0.700
402,  3,        5947.50,   488301.58818,  3600462.15130, 11,    -0.700
401,  3,        5932.50,   488313.69834,  3600453.30008, 11,    -0.700
400,  3,        5917.50,   488325.80850,  3600444.44886, 11,    -0.700
399,  3,        5902.50,   488337.91865,  3600435.59764, 11,    -0.700
398,  3,        5887.50,   488350.02881,  3600426.74642, 11,    -0.700
397,  3,        5872.50,   488362.13897,  3600417.89520, 11,    -0.700
396,  3,        5857.50,   488374.24912,  3600409.04398, 11,    -0.800
395,  3,        5842.50,   488386.35928,  3600400.19276, 11,    -0.600
394,  3,        5827.50,   488398.46944,  3600391.34154, 11,    -0.600
393,  3,        5812.50,   488410.57959,  3600382.49032, 11,    -0.500
392,  3,        5797.50,   488422.68975,  3600373.63910, 11,    -0.500
391,  3,        5782.50,   488434.79991,  3600364.78788, 11,    -0.500
390,  3,        5767.50,   488446.91006,  3600355.93666, 11,    -0.500
389,  3,        5752.50,   488459.02022,  3600347.08544, 11,    -0.500
388,  3,        5737.50,   488471.13038,  3600338.23422, 11,    -0.600
387,  3,        5722.50,   488483.24053,  3600329.38300, 11,    -0.400
386,  3,        5707.50,   488495.35069,  3600320.53178, 11,    -0.100
385,  3,        5692.50,   488507.46085,  3600311.68055, 11,    -0.100
384,  3,        5677.50,   488519.57100,  3600302.82933, 11,    -0.100
383,  3,        5662.50,   488531.68116,  3600293.97811, 11,    -0.100
382,  3,        5647.50,   488543.79132,  3600285.12689, 11,     0.000
381,  3,        5632.50,   488555.90147,  3600276.27567, 11,     0.300
380,  3,        5617.50,   488568.01163,  3600267.42445, 11,     0.400
 Error processing coordinates. Preprocessing continuing. No connection for JB,NN
 BR,JJB:           4           3           1
