 JDAY =    50.2077414320865     
QIN(JB):,.470000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
1,1,I,9,2.000000,.000000,.000000,.890000,.890000,.000000,.100000,.772744,2.817430,.100000,.000000,.000000,.000000,.000000,.772744,2.000000
2,1,I,9,.672744,.000000,.000000,.897946,.897958,-.001311,.100000,.772744,2.785440,.100000,.000000,.000000,.000000,.000000,.769435,.672744
3,1,I,9,.666127,-.102973,-.105417,.470000,.470000,-.207779,.100000,.205417,.325065,.100000,17.476645,17.476645,.000000,1.180429,.205417,.666127
4,1,A,9,.105417,-.102973,-.105417,.350322,.350130,.054675,.202973,.205417,.509406,.502979,17.476645,17.476645,.553318,.561782,.193031,.102973
5,1,A,9,.080646,-.079632,-.080646,.277173,.277181,-.002932,.179632,.180646,.593717,.590720,17.476701,17.476701,.420179,.405749,.181548,.079632
6,1,A,9,.082451,-.082119,-.082451,.260224,.260217,.002539,.182119,.182451,.661871,.663575,17.488655,17.488655,.395056,.381937,.175616,.082119
7,1,A,9,.068781,-.069417,-.068781,.328297,.328309,-.003877,.169417,.168781,.915845,.924120,17.478051,17.478051,.333513,.315337,.168087,.069417
8,1,A,9,.067393,-.068447,-.067393,.508552,.508477,.014793,.168447,.167393,1.395717,1.405664,17.476685,17.476685,.350114,.327486,.171278,.068447
9,1,A,9,.075163,-.075838,-.075163,.626729,.626734,-.000786,.175838,.175163,1.563758,1.566950,17.476646,17.476646,.392603,.369731,.179745,.075838
10,1,A,9,.084327,-.084176,-.084327,.604200,.604247,-.007743,.184176,.184327,1.416335,1.411894,17.476645,17.476645,.407470,.385483,.189427,.084176
11,1,A,9,.094527,-.093483,-.094527,.493387,.493517,-.026249,.193483,.194527,1.154978,1.145325,17.476645,17.476645,.426765,.405420,.200376,.093483
12,1,A,9,.106225,-.104399,-.106225,.315039,.314667,.118264,.204399,.206225,.755850,.747822,17.476645,17.476645,.422117,.398473,.203458,.104399
13,1,A,9,.100690,-.099972,-.100690,.252406,.252670,-.104276,.199972,.200690,.468183,.464604,17.476645,17.476645,.488648,.479413,.190759,.099972
14,1,A,9,.080827,-.079747,-.080827,.207276,.207278,-.001273,.179747,.180827,.528316,.526943,17.476647,17.476647,.341340,.325738,.179917,.079747
